ワード,読み,入力例
ああ言えばこう言う,ああいえばこういう,aaiebakouiu
開いた口がふさがらない,あいたくちがふさがらない,aitakutigafusagaranai
愛に国境はない,あいにこっきょうはない,ainikokkyouhanai
青い空、白い雲,あおいそら、しろいくも,aoisora,siroikumo
赤いチューリップ,あかいちゅーりっぷ,akaityu-rippu
赤ちゃんから目が離せない,あかちゃんからめがはなせない,akathankaramegahanasenai
アカデミー賞受賞,あかでみーしょうじゅしょう,akademi-shoujushou
あけましておめでとう,あけましておめでとう,akemasiteomedetou
あこがれのセーラー服,あこがれのせーらーふく,akogarenose-ra-fuku
アサリのお味噌汁,あさりのおみそしる,asarinoomisosiru
足がしびれました,あしがしびれました,asigasibiremasita
あしたからダイエット,あしたからだいえっと,asitakaradaietto
あした天気になーれ,あしたてんきになーれ,asitatenkinina-re
あしたはあしたの風が吹く,あしたはあしたのかぜがふく,asitahaasitanokazegafuku
あすの天気予報は雨です,あすのてんきよほうはあめです,asunotenkiyohou
あせると間違えますよ,あせるとまちがえますよ,aserutomatigaemasuyo
新しいゲームソフト,あたらしいげーむそふと,atarasiige-musofuto
アップルパイを焼きました,あっぷるぱいをやきました,appurupaiwoyakimasita
あとは野となれ山となれ,あとはのとなれやまとなれ,atohanotonareyamatonare
アナゴ一本握り,あなごいっぽんにぎり,anagoippoxnnigiri
あなたに一目ぼれ,あなたにひとめぼれ,anatanihitomebore
あの夕日に向かってダッシュだ,あのゆうひにむかってだっしゅだ,anoyuuhinimukattedasshuda
アプリケーションエラーです,あぷりけーしょんえらーです,apurike-shoxnera-desu
甘いものは別腹,あまいものはべつばら,amaimonohabetubara
甘酸っぱい思い出,あまずっぱいおもいで,amazuppaiomoide
雨上がりの夜空,あめあがりのよぞら,ameagarinoyozora
雨がやんだら虹が出た,あめがやんだらにじがでた,amegayandaranijigadeta
アメリカ連邦捜査局,あめりかれんぽうそうさきょく,amerikarenpousousakyoku
アメリカンショートヘアー,あめりかんしょーとへあー,amerikansho-tohea-
アメリカンフットボール,あめりかんふっとぼーる,amerikanfuttobo-ru
ありがとうございました,ありがとうございました,arigatougozaimasita
アリの巣の観察,ありのすのかんさつ,arinosunokansatu
アルバイト募集中,あるばいとぼしゅうちゅう,arubaitoboshuutyuu
暗証番号,あんしょうばんごう,anshoubangou
いいニュースと悪いニュース,いいにゅーすとわるいにゅーす,iinyu-sutowaruinyu-su
家に帰るまでが遠足,いえにかえるまでがえんそく,ienikaerumadegaensoku
いざ尋常に勝負,いざじんじょうにしょうぶ,izajinjounishoubu
石の上にも三年,いしのうえにもさんねん,isinouenimosaxnnexn
伊勢海老食べ放題,いせえびたべほうだい,iseebitabehoudai
イソップ物語,いそっぷものがたり,isoppumonogatari
痛いの痛いの飛んで行け,いたいのいたいのとんでいけ,itainoitainotondeike
痛かったら右手を上げてください,いたかったらみぎてをあげてください,itakattaramigitewoagetekudasai
イチゴショートケーキ,いちごしょーとけーき,itigosho-toke-ki
いつからそこにいたんですか？,いつからそこにいたんですか？,itukarasokoniitandesuka?
一球入魂,いっきゅうにゅうこん,ikkyuunyuukoxn
いつ見てもきれいだね,いつみてもきれいだね,itumitemokireidane
犬は英語でドッグです,いぬはえいごでどっぐです,inuhaeigodedoggudesu
イヌも歩けば棒にあたる,いぬもあるけばぼうにあたる,inumoarukebabouniataru
犬用シャンプー,いぬようしゃんぷー,inuyoushanpu-
今何時ですか？,いまなんじですか？,imananjidesuka?
今まで本当にお世話になりました,いままでほんとうにおせわになりました,imamadehontouniosewaninarimasita
言われた通りにやったのに,いわれたとおりにやったのに,iwaretatooriniyattanoni
インクジェットプリンター,いんくじぇっとぷりんたー,inkujettopurinta-
インスピレーション,いんすぴれーしょん,insupire-shoxn
インターナショナル,いんたーなしょなる,inta-nashonaru
インターネットの仕組み,いんたーねっとのしくみ,inta-nettonosikumi
インテリアコーディネーター,いんてりあこーでぃねーたー,interiako-dhine-ta-
ウイスキーをオンザロックで,ういすきーをおんざろっくで,uisuki-woonzarokkude
上から読んでも新聞紙,うえからよんでもしんぶんし,uekarayondemosinbunsi
ウクレレ教室,うくれれきょうしつ,ukurerekyousitu
ウサギをモフモフする,うさぎをもふもふする,usagiwomofumofusuru
嘘ついたら針千本飲ーます,うそついたらはりせんぼんのーます,usotuitaraharisenboxnno-masu
嘘つきは泥棒の始まり,うそつきはどろぼうのはじまり,usotukihadorobounohajimari
宇宙人に会いましたよ,うちゅうじんにあいましたよ,utyuujixnniaimasitayo
宇宙船地球号,うちゅうせんちきゅうごう,utyuusentikyuugou
美しい日本語,うつくしいにほんご,utukusiinihongo
馬の耳に念仏,うまのみみにねんぶつ,umanomimininenbutu
生まれ変わった僕を見てください,うまれかわったぼくをみてください,umarekawattabokuwomitekudasai
運命なんて信じない,うんめいなんてしんじない,unmeinantesinjinai
運命の赤い糸,うんめいのあかいいと,unmeinoakaiito
運も実力のうち,うんもじつりょくのうち,unmojituryokunouti
英会話教室,えいかいわきょうしつ,eikaiwakyousitu
英会話レッスン,えいかいわれっすん,eikaiwaressuxn
映画館で昼寝,えいがかんでひるね,eigakandehirune
エイリアンがやってきた,えいりあんがやってきた,eiriangayattekita
液晶ディスプレイ,えきしょうでぃすぷれい,ekishoudhisupurei
エサを与えないで下さい,えさをあたえないでください,eswoataenaidekudasai
枝毛が増えて気になります,えだげがふえてきになります,edagegafuetekininarimasu
エネルギー節約,えねるぎーせつやく,enerugi-setuyaku
エビフライ定食,えびふらいていしょく,ebifuraiteishoku
エルニーニョ現象,えるにーにょげんしょう,eruni-nyogenshou
遠距離恋愛,えんきょりれんあい,enkyorirexnai
エンゼルフィッシュ,えんぜるふぃっしゅ,enzerufisshu
縁の下の力持ち,えんのしたのちからもち,exnnositanotikaramoti
遠慮しないでたくさん食べてね,えんりょしないでたくさんたべてね,enryosinaidetakusantabetene
お遊びはここまでだ,おあそびはここまでだ,oasobihakokomadeda
